DBN,Major N,Oth N,NoCrim N,Prop N,Vio N,AvgOfMajor N,AvgOfOth N,AvgOfNoCrim N,AvgOfProp N,AvgOfVio N,Latitude,Longitude,SATmath,SATall
02M411,0.0,0.0,0.0,0.0,0.0,0.27,1.11,1.38,0.8,0.48,40.741929999999996,-73.986521,563.0,525.6666666666666
02M411,0.0,0.0,1.0,0.0,0.0,0.27,0.9,1.67,0.63,0.44,40.741929999999996,-73.986521,563.0,525.6666666666666
02M551,2.0,0.0,1.0,1.0,1.0,0.35,1.06,1.09,0.73,0.5,40.701695,-74.01163100000001,423.0,404.0
02M551,0.0,7.0,7.0,2.0,3.0,0.27,1.11,1.38,0.8,0.48,40.701695,-74.01163100000001,423.0,404.0
02M551,0.0,0.0,3.0,0.0,0.0,0.27,0.9,1.67,0.63,0.44,40.701695,-74.01163100000001,423.0,404.0
02M429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.736518,-73.994858,357.0,354.0
02M425,1.0,2.0,12.0,2.0,1.0,0.33,1.32,1.76,0.83,0.59,40.708729999999996,-74.012332,426.0,411.0
02M425,3.0,8.0,12.0,6.0,4.0,0.31,1.12,1.82,0.79,0.51,40.708729999999996,-74.012332,426.0,411.0
02M425,0.0,4.0,9.0,1.0,2.0,0.28,1.11,1.74,0.75,0.53,40.708729999999996,-74.012332,426.0,411.0
04M610,1.0,1.0,0.0,2.0,0.0,0.35,1.06,1.09,0.73,0.5,40.792741,-73.947428,446.0,442.0
04M610,0.0,0.0,0.0,0.0,0.0,0.27,1.11,1.38,0.8,0.48,40.792741,-73.947428,446.0,442.0
04M610,0.0,1.0,0.0,1.0,0.0,0.27,0.9,1.67,0.63,0.44,40.792741,-73.947428,446.0,442.0
02M531,0.0,2.0,1.0,2.0,0.0,0.43,1.03,1.23,0.99,0.41,40.755843,-73.984382,404.0,417.6666666666667
02M531,0.0,3.0,0.0,2.0,0.0,0.36,0.76,1.17,0.64,0.37,40.755843,-73.984382,404.0,417.6666666666667
02M531,0.0,0.0,0.0,0.0,0.0,0.24,0.71,1.71,0.51,0.32,40.755843,-73.984382,404.0,417.6666666666667
05M285,1.0,4.0,1.0,1.0,1.0,0.43,1.03,1.23,0.99,0.41,40.807987,-73.940061,318.0,336.0
05M285,0.0,1.0,0.0,1.0,0.0,0.36,0.76,1.17,0.64,0.37,40.807987,-73.940061,318.0,336.0
05M285,0.0,1.0,2.0,1.0,0.0,0.27,0.9,1.67,0.63,0.44,40.807987,-73.940061,318.0,336.0
02M570,0.0,2.0,1.0,2.0,0.0,0.35,1.06,1.09,0.73,0.5,40.747621,-73.990454,337.0,344.0
02M570,0.0,2.0,1.0,2.0,0.0,0.27,1.11,1.38,0.8,0.48,40.747621,-73.990454,337.0,344.0
02M570,0.0,0.0,1.0,0.0,0.0,0.27,0.9,1.67,0.63,0.44,40.747621,-73.990454,337.0,344.0
05M670,1.0,7.0,3.0,5.0,3.0,0.33,1.32,1.76,0.83,0.59,40.815509000000006,-73.944202,402.0,400.6666666666667
05M670,1.0,2.0,4.0,3.0,0.0,0.31,1.12,1.82,0.79,0.51,40.815509000000006,-73.944202,402.0,400.6666666666667
